上海,#genre#
深圳卫视,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=bestzb&Contentid=5000000010000024026&livemode=1&stbId=2
东南卫视,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=bestzb&Contentid=5000000001000005829&livemode=1&stbId=2
厦门卫视,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226964/index.m3u8
海峡卫视,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226977/index.m3u8
亚旅卫视,http://hls.jingchangkan.tv/jingchangkan/156722438_0HaM/index.m3u8
北京卫视,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000021288&livemode=1&stbId=2
天津卫视,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000003475&livemode=1&stbId=2
湖南卫视,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000032695&livemode=1&stbId=2
湖北卫视,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000010355&livemode=1&stbId=2
河南卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225611/index.m3u8?fmt=ts2hls
河北卫视,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=bestzb&Contentid=5000000006000040016&livemode=1&stbId=2
吉林卫视,rtsp://183.252.166.199/PLTV/88888888/224/3221226792/48616745.smil
黑龙江卫视,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000001925&livemode=1&stbId=2
辽宁卫视,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=bestzb&Contentid=5000000001000008940&livemode=1&stbId=2
重庆卫视,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000002000018937&livemode=1&stbId=2
四川卫视,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=bestzb&Contentid=5000000004000006119&livemode=1&stbId=2
海南卫视,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=bestzb&Contentid=5000000004000006211&livemode=1&stbId=2
贵州卫视,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=bestzb&Contentid=5000000004000025843&livemode=1&stbId=2
云南卫视,https://hwapi.yunshicloud.com/8xughf/e0bx15.m3u8
内蒙古卫视,http://live.m2oplus.nmtv.cn/1/sd/live.m3u8
新疆卫视,http://livehyw5.chinamcache.com/hyw/zb01.m3u8
青海卫视,http://live.geermurmt.com/qhws/sd/live.m3u8
甘肃卫视,https://hls.gstv.com.cn/g5971p/0292k0.m3u8
广西卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226211/index.m3u8?fmt=ts2hls
宁夏卫视,https://hhytv.ningxiahuangheyun.com:443/live/nxws1M.m3u8
陕西卫视,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=bestzb&Contentid=9149348477727203604&livemode=1&stbId=2
山西卫视,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000002000021220&livemode=1&stbId=2
西藏卫视,http://101.71.255.229:6610/zjhs/2/10049/index.m3u8?virtualDomain=zjhs.live_hls.zte.com

✈港澳,#genre#
有線新聞台,http://93.190.139.36:8278/streams/d/hkcnews_twn/playlist.m3u8
鳳凰中文,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225900/index.m3u8
鳳凰資訊,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225901/index.m3u8
鳳凰香港,http://93.190.139.36:8278/streams/d/hkphoenix_twn/playlist.m3u8#http://223.110.245.136/PLTV/3/224/3221226975/index.m3u8
澳亚衛視,http://125.89.166.215/mastvnet-hwcdn.utvlive.top/4rlff1m/1024/live.m3u8
澳視衛星,http://61.244.22.4/ch3/ch3.live/index.m3u8
澳門資訊,http://61.244.22.4/ch5/info_ch5.live/index.m3u8
無線翡翠台,https://cdn.hkdtmb.com/hls/81/index.m3u8#http://61.238.6.49:8000/bysid/1
無線明珠台,https://cdn.hkdtmb.com/hls/84/index.m3u8#http://61.238.6.49:8001/bysid/2
無線J2台,https://cdn.hkdtmb.com/hls/82/index.m3u8#http://61.238.6.49:8001/bysid/82
無線星河台,http://50.7.161.82:8278/streams/d/Xinhe/playlist.m3u8
無線新聞台,http://livetv.dnsfor.me/channel.10.m3u8#http://61.238.6.49:8001/bysid/83#http://93.190.139.36:8278/streams/d/inews_twn/playlist.m3u8
無線財經資訊台,http://livetv.dnsfor.me/channel.11.m3u8#http://61.238.6.49:8001/bysid/85
ViuTV6,http://61.238.6.49:8000/bysid/96
ViuTV,https://cdn.hkdtmb.com/hls/99/index.m3u8#http://61.238.6.49:8000/bysid/99#http://93.190.139.36:8278/streams/d/viu_twn/playlist.m3u8
有線直播新聞台,http://teslagram.com/live/channel_110.m3u8
RTHK31,https://rthklive1-lh.akamaihd.net/i/rthk31_1@167495/index_2052_av-b.m3u8
RTHK32,https://rthklive2-lh.akamaihd.net/i/rthk32_1@168450/index_1080_av-b.m3u8
now直播台,http://livetv.dnsfor.me/channel.3.m3u8
now新聞台,http://livetv.dnsfor.me/channel.4.m3u8
nowSportsPrime,http://livetv.dnsfor.me/channel.12.m3u8
香港開電視,http://media.fantv.hk/m3u8/archive/channel2.m3u8
C+頻道,http://gslbmeiah.cdn.hk.chinamobile.com/livehls/MOB-U1-NO/03.m3u8
亞視本港台,https://15813114727637862976168173814320.live.prod.hkatv.com/a1_cbr_hi_1080p.m3u8
創世電視,https://cdn.deepcore.online/hlsme/ctv_hk_1080.m3u8

✈新馬,#genre#
天映頻道,http://50.7.161.82:8278/streams/d/Celestial/playlist.m3u8
天映經典,http://50.7.161.82:8278/streams/d/Celestial2/playlist.m3u8
Channel 5,http://101.127.128.44:9981/stream/channelid/1482377991
Channel 8,http://101.127.128.44:9981/stream/channelid/1647051959
Channel U,http://101.127.128.44:9981/stream/channelid/1677198652
Channel New Asia,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
Vasantham,http://101.127.128.44:9981/stream/channelid/1434561421
Suria,http://101.127.128.44:9981/stream/channelid/1785002562
Astro 小太阳,http://50.7.161.82:8278/streams/d/Xiaotaiyang/playlist.m3u8
Astro 全佳,http://50.7.161.82:8278/streams/d/Quanjia/playlist.m3u8
Astro 双星,http://50.7.161.82:8278/streams/d/Shuangxing/playlist.m3u8
Astro Ceria,http://ts.lemmovie.com/ec85b2d2-8539-4d40-bfc2-64abcf7e8984.m3u8
Astro AEC,http://ts.lemmovie.com/e47300a4-e511-484f-b6dd-98de1483b71c.m3u8
Astro Malaysia,http://ts.lemmovie.com/55a7edc5-112d-47ce-92bd-d242cf580f46.m3u8
Astro RIA,http://ts.lemmovie.com/0d98a346-7dc3-46ac-93b8-62a4b1e2c578.m3u8
Astro WARNA,http://ts.lemmovie.com/3c9b182b-5d7d-4ecd-8245-61307642f861.m3u8
Astro Prima,http://ts.lemmovie.com/30194138-4d0c-4243-9438-21fd15a7216b.m3u8

✈台湾,#genre#
民視HD,rtmp://59.124.75.156/sat/tv051
台視HD,rtmp://59.124.75.156/sat/tv071
中視HD,rtmp://59.124.75.156/sat/tv091
華視HD,rtmp://59.124.75.156/sat/tv111
TVBS歡樂台,rtmp://59.124.75.156/sat/tv421
緯來日本,rtmp://59.124.75.156/sat/tv521
TVBS新聞,rtmp://59.124.75.156/sat/tv551#http://seb.sason.top/sc/tvbsxw_fhd.m3u8
東森財經新聞,rtmp://59.124.75.156/sat/tv571#http://seb.sason.top/sc/dscjxw_fhd.m3u8
緯來育樂,rtmp://59.124.75.156/sat/tv701
緯來體育,rtmp://59.124.75.156/sat/tv721
MOMO綜合台,rtmp://59.124.75.156/sat/tv761
東森超視,rtmp://59.124.75.156/sat/tv771
